java_xml;1519;
xml;1;
pair_closure;478;
closure_xml;913;
pair_xml;740;
java;492;
closure;464;
pair_closure_xml;1049;
pair;946;
closure;671;
xml;1;
pair_closure_xml;988;
pair;690;
java;636;
closure_xml;618;
pair_xml;408;
java_xml;494;
pair_closure;319;
closure_xml;394;
java;360;
pair_closure_xml;366;
xml;0;
pair;322;
pair_xml;415;
pair_closure;374;
closure;362;
java_xml;799;
closure_xml;672;
xml;1;
pair;581;
pair_closure;696;
java;590;
pair_xml;683;
pair_closure_xml;785;
closure;604;
java_xml;612;
pair;236;
java;314;
closure_xml;295;
pair_closure;285;
xml;0;
pair_closure_xml;347;
closure;249;
pair_xml;336;
java_xml;373;
pair;239;
pair_closure_xml;342;
java_xml;398;
closure_xml;414;
xml;0;
closure;392;
pair_closure;512;
java;463;
pair_xml;657;
java_xml;573;
pair_xml;648;
pair_closure;404;
java;444;
xml;0;
closure;409;
pair_closure_xml;573;
pair;398;
closure_xml;522;
pair_xml;552;
xml;1;
pair_closure_xml;540;
pair;221;
pair_closure;189;
java_xml;324;
java;245;
closure;218;
closure_xml;313;
